aggregation,undid_att,undid_se,csdid_att,csdid_se,didint_att,didint_se
simple,0.046564232,0.011313697,0.046375882,0.013347467,0.046406233,0.010160542
group,0.045822523,0.013331859,0.033862650,0.021056207,0.045817214,0.008394653
