aggregation,csdid_att,csdid_se,data_sha256
simple,0.046375882,0.013347467,1509b32bf680bf34783c5f27d58027e67931c85eead8f58c235c004b8887abdc
group,0.033862650,0.021056207,1509b32bf680bf34783c5f27d58027e67931c85eead8f58c235c004b8887abdc
